,accuracy,precision,recall,f1,auc,n_features
Baseline,0.7333333333333333,0.5483870967741935,0.8947368421052632,0.68,0.7689345314505777,3
Discretization,0.6166666666666667,0.42857142857142855,0.631578947368421,0.5106382978723404,0.6694480102695763,3
Interactions,0.7333333333333333,0.5517241379310345,0.8421052631578947,0.6666666666666666,0.7522464698331195,6
MinMax,0.7333333333333333,0.5483870967741935,0.8947368421052632,0.68,0.7689345314505777,3
All_Features,0.7166666666666667,0.5333333333333333,0.8421052631578947,0.6530612244897959,0.72400513478819,14
